Customer ID,Amount,Gross Profit,Transaction Date
1,$175.00,$137.00,2020-01-01 16:16:15.015+00
2,$149.00,$111.00,2020-01-02 05:53:44.861+00
3,$175.00,$137.00,2020-01-03 10:23:53.859+00
4,$149.00,$111.00,2020-01-03 14:22:24.67+00
5,$375.00,$337.00,2020-01-05 13:26:47.621+00
7,$375.00,$337.00,2020-01-07 00:00:26.735+00
8,$149.00,$111.00,2020-01-07 10:55:42.941+00
10,$175.00,$137.00,2020-01-07 18:07:31.058+00
9,$149.00,$111.00,2020-01-08 07:43:13.434+00
11,$299.00,$261.00,2020-01-08 15:20:49.528+00
12,$375.00,$337.00,2020-01-09 11:03:08.886+00
13,$175.00,$137.00,2020-01-09 12:38:29.549+00
15,$175.00,$137.00,2020-01-10 10:40:11.913+00
14,$375.00,$337.00,2020-01-10 11:26:46.51+00
16,$149.00,$111.00,2020-01-10 13:03:46.36+00
17,$375.00,$337.00,2020-01-10 17:40:02.203+00
18,$299.00,$261.00,2020-01-11 10:40:04.428+00
19,$299.00,$261.00,2020-01-13 12:24:11.803+00
20,$299.00,$261.00,2020-01-13 12:59:36.887+00
21,$175.00,$137.00,2020-01-13 13:49:16.589+00
22,$149.00,$111.00,2020-01-14 10:23:16.346+00
23,$149.00,$111.00,2020-01-14 10:30:59.985+00
24,$375.00,$337.00,2020-01-16 09:35:30.779+00
25,$375.00,$337.00,2020-01-17 13:03:36.174+00
26,$175.00,$137.00,2020-01-18 09:17:25.286+00
27,$299.00,$261.00,2020-01-19 11:51:52.121+00
28,$299.00,$261.00,2020-01-20 07:58:25.34+00
29,$375.00,$337.00,2020-01-22 10:14:15.77+00
30,$375.00,$337.00,2020-01-22 14:25:14.479+00
31,$175.00,$137.00,2020-01-22 18:45:18.07+00
32,$175.00,$137.00,2020-01-25 10:46:24.391+00
33,$375.00,$337.00,2020-01-28 14:07:28.109+00
34,$375.00,$337.00,2020-01-28 16:11:19.778+00
35,$175.00,$137.00,2020-01-30 09:18:00.861+00
13,$175.00,$137.00,2020-01-30 13:53:40.977+00
36,$375.00,$337.00,2020-02-01 11:48:40.303+00
37,$299.00,$261.00,2020-02-01 14:15:00.846+00
38,$375.00,$337.00,2020-02-01 20:14:59.268+00
39,$149.00,$111.00,2020-02-04 05:51:39.734+00
40,$175.00,$137.00,2020-02-04 12:58:32.152+00
41,$175.00,$137.00,2020-02-05 11:52:41.556+00
42,$175.00,$137.00,2020-02-05 20:23:19.791+00
43,$375.00,$337.00,2020-02-05 22:18:11.48+00
44,$299.00,$261.00,2020-02-06 09:56:27.269+00
45,$299.00,$261.00,2020-02-07 06:33:34.817+00
46,$175.00,$137.00,2020-02-07 14:23:12.566+00
47,$375.00,$337.00,2020-02-07 16:09:46.069+00
48,$375.00,$337.00,2020-02-08 11:49:27.213+00
49,$175.00,$137.00,2020-02-09 05:27:38.554+00
50,$149.00,$111.00,2020-02-09 07:57:16.726+00
12,$175.00,$137.00,2020-02-09 13:54:02.501+00
51,$375.00,$337.00,2020-02-10 13:26:56.259+00
52,$375.00,$337.00,2020-02-10 13:39:54.408+00
53,$299.00,$261.00,2020-02-11 04:58:58.393+00
9,$149.00,$111.00,2020-02-12 09:51:39.324+00
2,$149.00,$111.00,2020-02-12 21:44:56.257+00
54,$375.00,$337.00,2020-02-13 07:19:07.257+00
55,$175.00,$137.00,2020-02-13 09:35:28.816+00
56,$375.00,$337.00,2020-02-13 11:32:24.068+00
57,$299.00,$261.00,2020-02-13 17:25:15.98+00
58,$199.00,$161.00,2020-02-14 11:25:11.561+00
